5,7,12,44,31,48
5,8,27,51,36,55
5,9,29,52,41,58
5,10,29,54,43,57
5,11,30,57,43,59
5,12,30,55,38,52
5,13,32,55,35,50
5,14,41,52,36,49
5,15,41,66,32,47
5,16,41,66,34,47
5,17,42,66,37,46
5,18,45,63,38,46
5,19,46,59,37,41
5,20,49,59,36,41
5,21,46,58,40,41
5,22,43,55,40,41
5,23,39,55,32,41
5,24,38,55,32,38
5,25,38,51,29,37
5,26,39,48,29,35
5,27,45,50,24,35
5,28,51,58,24,31
5,29,52,58,25,28
5,30,52,53,22,28
6,0,31,47,31,48
6,1,28.5,52.5,33,54.5
6,2,26.5,52.5,31.5,52.5
6,3,27.5,52.5,31.5,55
6,4,28,54,35,58
6,5,26,53.5,33,58.5
6,6,27,54.5,33,58
6,7,25.5,51,31.5,54
6,8,33,55,36,58.5
6,9,35,56,44.5,62
6,10,60,61,49,62
6,11,43.5,60.5,43,60
6,12,39.5,58,39,58
6,13,40.5,58,36,56.5
6,14,44,56,37.5,56
6,15,43.5,63.5,35.5,55
6,16,44,65.5,37.5,53
6,17,44.5,67,39.5,49
6,18,46,66.5,42.5,49
6,19,55.5,63,40.5,45.5
6,20,54,61,36,41
6,21,59,61,39,41
6,22,51,57.5,39.5,41.5
6,23,44.5,56,36.5,42
6,24,42.5,56,36.5,40.5
6,25,43.5,54,34.5,40
6,26,47,50.5,34,39.5
6,27,50.5,52,29.5,38.5
6,28,53.5,56,30,36.5
6,29,54.5,56.5,31,34
6,30,53,61,36,40
7,0,36,50,32,58
7,1,36,59,35,61
7,2,32,59,35,60
7,3,34,59,35,65
7,4,35,59,41,68
7,5,35,59,36,68
7,6,37,59,36,65
7,7,39,58,32,60
7,8,39,59,36,62
7,9,41,60,48,66
7,10,39,61,49,63
7,11,57,64,43,61
7,12,49,61,40,64
7,13,49,61,37,63
7,14,47,60,39,63
7,15,46,61,39,63
7,16,47,65,41,59
7,17,47,68,42,52
7,18,47,70,47,52
7,19,65,67,44,50
7,20,60,61,44,46
7,21,58,64,42,45
7,22,59,60,39,42
7,23,50,57,41,43
7,24,47,57,41,43
7,25,49,57,40,43
7,26,55,53,39,44
7,27,56,54,35,42
7,28,56,54,36,42
7,29,57,55,37,40
7,30,52,61,34,40
8,0,27,52,35,57
8,1,27,49,35,59
8,2,28,49,37,63
8,3,28,49,40,61
8,4,28,54,39,63
8,5,38,56,40,61
8,6,38,56,42,64
8,7,39.5,56,42.5,63
8,8,41,56,43,62
8,9,43,55,47,62
8,10,44,57,48,66
8,11,46,60,47,61
8,12,50,61,44,61
8,13,43,63,41,56
8,14,43,63,40,56
8,15,44.5,68.5,40,55.5
8,16,46,74,40,55
8,17,42,74,44,55
8,18,42,69,45,55
8,19,49,62,45,57
8,20,50,57,45,57
8,21,50,53,40,57
8,22,50,53,37,58
8,23,47.5,50.5,36,52
8,24,45,48,35,46
8,25,50,51,39,46
8,26,49,48,36,49
8,27,49,50,37,46
8,28,49,55,31,46
8,29,52,57,34,43
8,30,51,59,34,45
9,0,27,47,35,56
9,1,28,48,36,57.5
9,2,31.5,47,37.5,59.5
9,3,30.5,46,38.5,59
9,4,30,47,40.5,62.5
9,5,37,49,40.5,61
9,6,35,49,41,62.5
9,7,37.25,48.5,42.75,64.5
9,8,41,51,43.5,62.5
9,9,42,50.5,45.5,64.5
9,10,38,54,52,63
9,11,42,56,47,60.5
9,12,43.5,56.5,45.5,59.5
9,13,43,56.5,44,55.5
9,14,43,55.5,43.5,55.5
9,15,43.75,59.75,43.5,54.25
9,16,44.5,63.5,43.5,51.5
9,17,42.5,63,45.5,51
9,18,45,60.5,46,52.5
9,19,51,57.5,45,52.5
9,20,53,55,41,50
9,21,53,59,38,50
9,22,53,53.5,38.5,52.5
9,23,51.75,51.25,38,50
9,24,50.5,48.5,36.5,47
9,25,53,49,37.5,43.5
9,26,49,46.5,36,44
9,27,50,47,35.5,44
9,28,51,49.5,32.5,44.5
9,29,52.5,50,34,43
9,30,55,49,34,40
10,0,28,47,34,55
10,1,29,47,37,56
